,HomeTeam,AwayTeam,HTGD,ATGD,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,DiffFormPts,DiffLP,FTR
5396,Southampton,Sunderland,0.75,0.125,1.625,1.0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0.125,-6,H
5397,QPR,Liverpool,-1.375,0.0,0.5,1.25,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,-0.375,16,A
5398,Stoke,Swansea,-0.25,0.25,1.0,1.375,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0.25,-3,H
5399,West Brom,Man United,-0.125,0.375,1.0,1.375,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.0,10,D
5400,Liverpool,Hull,0.111111111,0.0,1.4444444440000002,1.111111111,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0.333333333,-14,D
5401,Southampton,Stoke,1.5555555559999998,-0.111111111,1.7777777780000001,1.222222222,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,-1,H
5402,Sunderland,Arsenal,-0.7777777779999999,0.222222222,0.8888888890000001,1.222222222,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0.222222222,10,A
5403,Swansea,Leicester,0.111111111,-0.222222222,1.222222222,1.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.111111111,-6,H
5404,West Brom,Crystal Palace,-0.111111111,-0.333333333,1.0,0.8888888890000001,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.111111111,6,D
5405,West Ham,Man City,0.444444444,1.111111111,1.4444444440000002,1.888888889,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,-0.333333333,12,H
5406,Burnley,Everton,-1.0,0.0,0.444444444,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-0.333333333,13,A
5407,Man United,Chelsea,0.333333333,1.6666666669999999,1.333333333,2.444444444,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,-0.222222222,4,D
5408,Tottenham,Newcastle,-0.111111111,-0.666666667,1.222222222,0.7777777779999999,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.0,-4,A
